,count+mnb,count+svm,count+mlp,tfidf+mnb, tfidf+svm, tfidf+mlp,sum
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,1,6
web ,1,1,1,1,1,0,5
web ,1,1,0,1,1,1,5
web ,1,1,0,1,1,1,5
web ,1,1,1,1,1,0,5
web ,1,1,0,1,1,1,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,1,1,0,1,1,1,5
web ,1,1,1,1,1,0,5
web ,1,1,0,1,1,1,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,1,1,0,1,1,1,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,1,1,0,1,1,1,5
web ,1,1,0,1,1,1,5
web ,1,1,0,1,1,1,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,1,1,0,1,1,1,5
web ,1,1,1,1,1,0,5
web ,1,1,1,1,1,0,5
web ,0,1,0,1,1,1,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
api ,1,1,1,0,0,1,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
web ,1,1,0,1,1,0,4
java ,1,0,1,0,0,1,3
api ,1,0,1,0,0,1,3
java ,1,0,1,0,0,1,3
server ,1,0,1,0,0,1,3
web ,0,1,0,1,1,0,3
.net ,1,0,1,0,0,1,3
web ,0,1,0,1,1,0,3
java ,1,0,1,0,0,1,3
web ,0,1,0,1,1,0,3
.net ,0,1,1,0,0,1,3
java ,1,0,1,0,0,1,3
java ,1,0,1,0,0,1,3
ios ,1,0,1,0,0,1,3
web ,0,1,0,1,1,0,3
web ,0,1,0,1,1,0,3
web ,0,1,0,1,1,0,3
java ,1,0,1,0,0,1,3
.net ,1,0,1,0,0,1,3
web ,0,1,0,1,1,0,3
s ,1,0,1,0,0,1,3
java ,1,1,1,0,0,0,3
server ,1,0,1,0,0,1,3
java ,1,0,1,0,0,1,3
web ,0,1,0,1,1,0,3
jquery ,0,0,1,0,0,1,2
api ,0,0,1,0,0,1,2
python ,0,0,1,0,0,1,2
server ,0,0,1,0,0,1,2
s ,0,0,1,0,0,1,2
structured-data ,0,0,1,0,0,1,2
facebook ,0,0,1,0,0,1,2
java ,0,0,1,0,0,1,2
qt ,0,0,1,0,0,1,2
sqlite ,0,0,1,0,0,1,2
open-source ,0,0,1,0,0,1,2
java ,1,0,0,0,0,1,2
ios ,0,0,1,0,0,1,2
python ,0,0,1,0,0,1,2
python ,0,0,1,0,0,1,2
android ,0,0,1,0,0,1,2
server ,1,0,0,0,0,1,2
api ,0,0,1,0,0,1,2
android ,0,0,1,0,0,1,2
.net ,0,1,0,0,0,1,2
android ,0,0,1,0,0,1,2
android ,0,0,1,0,0,1,2
markup ,0,0,1,0,0,1,2
javascript ,0,0,1,0,0,1,2
ios ,0,0,1,0,0,1,2
android ,0,0,1,0,0,1,2
cakephp ,0,0,1,0,0,1,2
drupal ,0,0,1,0,0,1,2
.net ,0,0,1,0,0,1,2
gnu ,0,0,1,0,0,1,2
gnu ,0,0,1,0,0,1,2
wysiwyg ,0,0,1,0,0,1,2
drupal ,0,0,1,0,0,1,2
android ,0,0,1,0,0,1,2
markup ,0,0,1,0,0,1,2
html ,0,0,1,0,0,1,2
s ,0,0,1,0,0,1,2
.net ,0,0,1,0,0,1,2
http ,0,0,1,0,0,1,2
file-format ,0,0,1,0,0,1,2
.net ,0,0,1,0,0,1,2
web ,0,0,0,1,1,0,2
cakephp ,0,0,1,0,0,1,2
javascript ,0,0,1,0,0,1,2
api ,0,0,1,0,0,1,2
android ,0,0,1,0,0,1,2
operating-system ,0,0,1,0,0,1,2
hadoop ,0,0,1,0,0,1,2
.net ,0,0,1,0,0,0,1
